
ò O"

o ()
ó ()'
ó ()/
õ ()~ 
ò ()`
ò ()"
ỏ ()?
ọ ().

o o
õ o~ 
ó o'
ó o/
ò o`
ò o"
ọ o.
ỏ o?

o {}
õ {}~ 
ó {}'
ó {}/
ò {}`
ò {}"
ọ {}.
ỏ {}?

o <>
ó <>'
ó <>/
ò <>`
ò <>"
ỏ <>?
ọ <>.
õ <>~ 

ô 0^
ỗ 0^~
ố 0^'
ố 0^/
ổ 0^?
ộ 0^.
ồ 0^`
ồ 0^"

ô O^
ổ O^?
ộ O^.
ỗ O^~
ố O^'
ố O^/
ồ O^`
ồ O^"

ô ()^
ỗ ()^~
ố ()^'
ố ()^/
ộ ()^.
ồ ()^`
ồ ()^"
ổ ()^?

ô <>^
ố <>^'
ố <>^/
ộ <>^.
ồ <>^`
ồ <>^"
ỗ <>^~
ổ <>^?

ộ o^.
ô o^
ổ o^?
ố o^'
ố o^/
ồ o^`
ồ o^"
ỗ o^~

ộ {}^.
ô {}^
ổ {}^?
ố {}^'
ố {}^/
ồ {}^`
ồ {}^"
ỗ {}^~

ơ 0*
ờ 0*`
ờ 0*"
ở 0*?
ỡ 0*~
ớ 0*'
ớ 0*/
ợ 0*.

ơ ()*
ớ ()*'
ớ ()*/
ờ ()*`
ờ ()*"
ỡ ()*~
ở ()*?
ợ ()*.

ơ O*
ớ O*'
ớ O*/
ỡ O*~
ờ O*`
ờ O*"
ợ O*.
ở O*?

ơ {}*
ớ {}*'
ớ {}*/
ỡ {}*~
ờ {}*`
ờ {}*"
ợ {}*.
ở {}*?

ớ <>*'
ớ <>*/
ỡ <>*~
ở <>*?
ơ <>*
ợ <>*.
ờ <>*`
ờ <>*"

ơ o*
ớ o*'
ớ o*/
ợ o*.
ờ o*`
ờ o*"
ỡ o*~
ở o*?

s 5
s $
s S
s s
s x
s X

u U
u u
ú u'
ú u/
ù u`
ù u"
ụ u.
ủ u?
ũ u~

u |_|
ú |_|'
ú |_|/
ù |_|`
ù |_|"
ụ |_|.
ủ |_|?
ũ |_|~

u +_+
ú +_+'
ú +_+/
ù +_+`
ù +_+"
ụ +_+.
ủ +_+?
ũ +_+~

u !_!
ú !_!'
ú !_!/
ù !_!`
ù !_!"
ụ !_!.
ủ !_!?
ũ !_!~

u [_]
ú [_]'
ú [_]/
ù [_]`
ù [_]"
ụ [_].
ủ [_]?
ũ [_]~

u {_}
ú {_}'
ú {_}/
ù {_}`
ù {_}"
ụ {_}.
ủ {_}?
ũ {_}~

u U
ú U'
ú U/
ù U`
ù U"
ụ U.
ủ U?
ũ U~

u u
ú u'
ú u/
ù u`
ù u"
ụ u.
ủ u?
ũ u~

ư |_|*
ứ |_|*'
ứ |_|*/
ừ |_|*`
ừ |_|*"
ự |_|*.
ữ |_|*~
ử |_|*?

ư !_!*
ứ !_!*'
ứ !_!*/
ừ !_!*`
ừ !_!*"
ự !_!*.
ữ !_!*~
ử !_!*?

ư w
ứ w'
ứ w/
ừ w`
ừ w"
ự w.
ữ w~
ử w?

ư [_]*
ứ [_]*'
ứ [_]*/
ừ [_]*`
ừ [_]*"
ự [_]*.
ữ [_]*~
ử [_]*?

ư U*
ứ U*'
ứ U*/
ừ U*`
ừ U*"
ự U*.
ữ U*~
ử U*?

ư {_}*
ứ {_}*'
ứ {_}*/
ừ {_}*`
ừ {_}*"
ự {_}*.
ữ {_}*~
ử {_}*?

ư u*
ứ u*'
ứ u*/
ừ u*`
ừ u*"
ự u*.
ữ u*~
ử u*?

w \/\/
w vv
w w
w W

y ij
ý ij'
ý ij/
ỵ ij.
ỳ ij`
ỳ ij"
ỹ ij~
ỷ ij?
y iJ
ý ij'
ý iJ/
ỵ iJ.
ỳ ij`
ỳ ij"
ỹ ij~
ỷ ij?

v \/
v v
v V

j J
j j

l |_
l L 
l l

t T
t t
t 7


p P
p p
p |@

Q 2
Q q
Q Q
q W
q w

R R
R r

x ><
x X
x x

z z
z Z
